label,t,h
0,الطيران الحربي اليمني يشن غارات جوية على مناطق قبلية خارج العاصمة اليمنية صنعا في الوقت الذي أعلن زعيم قبيلة حاشد الشيخ صادق الأحمر عن وقف إطلاق نار بين أنصار ه و القوات الموالية ل لرئيس علي عبدالله صالح في صنعا ,اليمن  مظاهرات سلمية و الطيران الحربي يقصف مناطق قبلية 
1,المنتخب المغربي يفوز على نظير ه الجزائري ب رباعية نظيفة و يتصدر المجموعة الرابعة في التصفيات المؤهلة ل كأس الامم الافريقية ل كرة القدم 2012 ,تصفيات أمم افريقيا  رباعية مغربية في شباك الجزائر 
0,نددت الأمم المتحدة ب اعتقال موظفي ها شمال السودان العاملين ضمن مهمة الأمم المتحدة في السودان و دعت إلى إطلاق سراح هم ,الأمم المتحدة تطالب ب الاطلاق الفوري ل سراح 6 من موظفي ها في السودان 
0,توتر امني يسود صنعا يترافق مع حالة الترقب التي تعيش ها اطراف الصراع في اليمن بعد رفض عبدربه منصور هادي الحديث الى المعارضة المطالبة ب تخلي الرئيس علي عبد الله صالح فورا عن السلطة ,اليمن  توتر في صنعا و المعارضة تتهم نائب الرئيس ب رفض الحوار مع ها 
1,المرشح الكازاخي ل رئاسة صندوق النقد الدولي يتخلى عن ترشيح ه ل يقتصر السباق على الوظيفة على وزيرة المالية الفرنسية كريستين ل اغارد و محافظ البنك المركزي المكسيكي اغوستين كارستنز ,حصر السباق على رئاسة صندوق النقد بين لاغارد و كارستنز 
0,فيما طغى الشأن المحلي على تغطيات الصحف البريطانية ل يوم الخميس  ف إن أحداث الشرق الأوسط لم تغب كلية  و حظيت كل من ليبيا  و سورية تغطية كبيرة  و في الشأن السوري احتل موضوع تزايد اللاجئين من جسر الشغور  حيزا كبيرا ,الصحافة البريطانية  تعرف إلى ماهر الأسد  و غيتس ينتقد أعضا في الناتو 
1,مجلس الامن يناقش مشروع قرار تقدمت ب ه كل من بريطانيا و فرنسا يدين النظام السوري على قمع المتظاهرين المطالبين ب الاصلاح ,مجلس الامن يدرس قرارا يدين القمع في سورية 
1,رئيس الوزرا التركي رجب طيب أردوغان يقول إن ه يأمل في أن تعزز نتائج الانتخابات التشريعية التي تشهد ها بلاد ه اليوم السلام و الحقوق الأساسية في تركيا ,اردوغان  آمل ان تعزز نتائج الانتخابات التشريعية السلام و الحقوق الأساسية في تركيا 
1,اعتذر موقع ف يسبو ك عن الطريقة التي دشنت ب ها الخدمة الجديدة ل توزيع الصور و التي تميز المستخدمين من خلال صور هم ,ف يسبو ك يعتذر عن ما سببت ه الخدمة الجديدة ل توزيع الصور 
1,طائرة امريكية ب دون طيار استهدفت القيادي في القاعدة الياس كشميري و مجموعت ه غربي باكستان ف قتلت ه مع خمسة اشخاص ,باكستان  غارة أمريكية تقتل قياديا في القاعدة 
1,يأمل منظمو ملتقى دولي يعقد في العاصمة البريطانية لندن الاثنين جمع 37 مليار دولار ب حلول عام 2015 ل توفير اللقاحات اللازمة ل مكافحة الالتهاب الرئوي و الاسهال لدى الأطفال ,مؤتمر دولي في لندن يسعى ل توفير 37 مليار دولار ل دعم ل قاحات الاطفال 
1,صندوق النقد الدولي يقول ان ه تمت عملية فرز القائمة المختصرة ل لمرشحين ل منصب المدير العام ل لصندوق و ضمت وزيرة المالية الفرنسية كريستين ل اغارد و حاكم بنك المكسيك اوغوستين كارستنس ,صندوق النقد الدولي يختار مرشحين ل لتنافس على ادراته 
0,فريق مانشستر يونايتد يفوز ب الدوري الإنجليزي ل كرة القدم بعد تعادل ه مع فريق بلاكبيرن روفرز ب هدف ل كل من هما ,مانشستر يونايتد يفوز ب الدوري الإنجليزي الممتاز ل كرة القدم قبل مباراتين من انتهائ ه رسميا 
1,في مقابلة خاصة مع بي بي سي  رئيس الوزرا المصري عصام شرف يؤكد أن القانون المصري يكفل حق التظاهر ل لجميع و أن المظاهرات التي تتم في حدود هذا القانون تساعد الحكومة في اتخاذ القرارات ,عصام شرف  التظاهر حق مكفول ل لجميع في مصر 
0,الاطراف المتخاصمة في الحكومة الصومالية تتوصل الى تأجيل الانتخابات  بعد اشهر من المفاوضات المتعثرة التي اثارت غضب الدول المانحة  و اسهمت في توسيع مكاسب المسلحين الاسلاميين ,الاطراف الصومالية تتفق تأجيل الانتخابات ل مدة عام 
0,نشطا حقوق انسان يقولون ان 25 شخصا قتلوا خلال 24 ساعة في محافظة ادلب شمالي سورية و ارتفاع حصيلة القتلى في حماه بعد العثور على نحو 23 جثة في احدى الحدائق ب المدينة ,شهود عيان يتحدثون عن مقتل 25 شخصا في جسر الشغور 
0,حزب العدالة و التنمية الحاكم الذي يتزعم ه رئيس الوزرا التركي رجب طيب أردوغان يفوز في الانتخابات النيابية بعد فرز 99 في المائة من الأصوات و اردوغان يتعهد في خطاب النصر ب العمل مع خصوم ه على وضع دستور جديد ل لبلاد ,الانتخابات التركية  اردوغان يفوز ب ولاية ثالثة و يتعهد ب العمل مع منافسي ه ل تغيير الدستور 
0,رئيس الاحتياطي الفيدرالي الأمريكي بن برنانكي يقول إن انتعاش الاقتصاد الأمريكي سيحقق تقدما خلال النصف الثاني من العام الجاري ,برنانكي  انتعاش الاقتصاد الأمريكي سوف يحقق تقدما خلال العام المقبل 
1,محققون رومانيون يقولون ان زوجة احد دبلوماسيي جمهورية الكونغو الديمقراطية قد اعتقلت في رومانيا بعد الشك في قيام ها ب تهريب السجائر الى بلاد هم ,زوجة دبلوماسي من الكونغو تهرب السجائر إلى رومانيا 
0,سماع دوي انفجارات ضخمة في طرابلس  و هي الانفجارات الأشد التي تعرضت ل ها العاصمة الليبية  و واشنطن تستعد ل فتح مكتب ل لمجلس الانتقالي ,غارات غربية عنيفة على طرابلس  و مكتب ل لانتقالي في واشنطن 
1,الرئيس الجديد ل موقع تويتر في أوروبا حذر المستخدمين من أن هم قد يواجهون دعاوى قضائية في حالة انتهاك هم أوامر السرية التي تفرض ها المحاكم البريطانية ,موقع تويتر في أوربا يحذر المستخدمين من انتهاك قواعد الخصوصية 
0,نجاح عملية زرع وجه استغرقت 20 ساعة ل لامريكية تشارلا ناش التي مزق شمبانزي وجه ها عام 2009 ,زرع وجه ل امرأة هاجم ها شمبانزي قبل عامين 
1,ناطق ب اسم المعارضة الليبية في بلدة الزنتان يقول إن 5 اشخاص قتلوا و اصيب 21 ب جروح في البلدة يوم الاحد جرا قصف مدفعي نفذت ه قوات القذافي ,ليبيا  مقتل 5 و اصابة 21 في قصف مدفعي ل لزنتان 
0,محادثات رئيس الوزرا البريطاني ديفيد كاميرون مع ضيف ه الرئيس الأمريكي باراك أوباما بدأت منذ قليل في داوننج ستريت في لندن و من المقرر أن تتركز المحادثات حول عمليات حلف شمال الأطلسي في ليبيا و الموقف في الشرق الأوسط ,الربيع العربي أهم البنود على جدول محادثات أوباما و كاميرون 
1,المغنية شاكيرا ترقص مع صديق ها مدافع فريق برشلونه جيرارد بيكيه و بعض من نجوم الفريق أثنا الحفل الذي أحيت ه في المدينة  ابتهاجا ب فوز الفريق ب كأس بطولة دوري الأبطال الأوروبي ل كرة القدم ,شاكيرا ترقص مع نجوم برشلونة احتفالا ب الكأس 
0,زعيم اليوغا بابا رامديف يقول ان ه سيواصل الصوم بعد طرد ه من العاصمة  مصرا على دعوت ه ل استعادة مليارات الدولارات من اموال الفساد المهربة في الخارج ,بابا رامديف يواصل الاضراب احتجاجا على الفساد في الهند 
1,انتقد نواب في البرلمان البريطاني منح عشرات آلالاف من اللاجئين حق الإقامة في بريطانيا  و وصفو ه ب أن ه أشبه ب منح عفو ل لمتجاوزين ل قوانين الهجرة ,انتقادات ل منح عشرات آلالاف من طالبي اللجو حق الإقامة في بريطانيا 
1,تضاربت الأنبا ب شأن وقوع هجومين منفصلين في ولاية جنوب كردفان السودانية المضطربة  و الأمم المتحدة تعلن أن ها تحقق في الحادثين ,السودان  هجومان مسلحان في جنوب كردفان 
1,الرئيس الافغاني كرزا ي يقول في مؤتمر صحفي إن ه ما لم ت كف قوات الاطلسي عن استهداف المدنيين الافغان في مساكن هم  سيبدأ الافغان ب النظر الي ها على ان ها قوات احتلال تعمل ب الضد من ارادة الشعب الافغاني ,افغانستان  كرزا ي يحذر الاطلسي من مغبة التحول الى قوة احتلال 
0,الشرطة الباكستانية تعلن مقتل 15 شخصا و إصابة العشرات في تفجيرين في منطقة تسوق في مدينة بيشاور ,باكستان  مقتل 15 شخصا في تفجيرين ليل السبت في منطقة تسوق في بيشاور شمال غرب البلاد 
1,اتهمت الأمم المتحدة السلطات السورية ب ارتكاب ما وصفت ه ب انتهاكات خطيرة و واسعة النطاق خلال تعامل ها مع الاحتجاجات في البلاد ,الأمم المتحدة تتهم السلطات ب ارتكاب انتهاكات خطيرة في التعامل مع الاحتجاجات 
1,أكد وزير المالية السوداني علي محمود أن عائدات البلاد المالية ستنخفض ب أكثر من الثلث ب سبب فقدان نفط الجنوب بعد الإعلان الرسمي عن انفصال الجنوب عن الشمال في 9 تموز المقبل ,عائدات السودان المالية ستقل ب أكثر من الثلث عقب انفصال الجنوب 
0,أعلنت رئاسة الحكومة البريطانية أن العقيد الليبي و أفراد عائلت ه و ك بار مسؤولي نظام ه لن يسمح ل هم ب دخول بريطانيا ل مشاهدة دورة الألعاب الأولمبية في لندن العام القادم ,لندن  القذافي و عائلت ه لن يسمح ل هم ب حضور أولمبياد 2012 
0,مقتل سبعة اشخاص السبت في هجوم انتحاري في شمال افغانستان بين هم قائد الشرطة في شمال البلاد و ثلاثة عسكريين المان ,أفغانستان  مقتل مسؤولين و إصابة قائد عسكري الماني 
1,قتل أربعة أشخاص على الأقل في انفجار أعقب ه حريق في منشأة ل تكرير النفط غربي و يلز جنوبي المملكة المتحدة ,مقتل أربعة في انفجار ب مصفاة ل لنفط غربي و يلز 
1,مسؤول عسكري باكستاني يقول إن الصين وافقت على تزويد باكستان ب خمسين طائرة حربية اضافية من طراز چ  17 ,الصين تزود باكستان ب خمسين طائرة حربية 
1,الرئيس الامريكي باراك اوباما و المستشارة الالمانية انجيلا ميركل يقولان بعد محادثات في واشنطن إن هما متفقان على وجوب تجنب الفلسطينيين التوجه الى الامم المتحدة من اجل الحصول على اعتراف دولي ب دولت هم ,أوباما و ميركل  يجب تجنب احالة قضية الاعتراف ب الدولة الفلسطينية الى الامم المتحدة 
1,بعد 25 عاما على الهوا  بثت اليوم آخر حلقات برنامج أوبرا و ينفري  صاحبة البرنامج الحواري و الاجتماعي ذائع الصيت ,بث آخر حلقة من حلقات برنامج اوبرا و ينفري 
0,قوات الحكومة الليبية تطلق يوم الثلاثا صواريخ على اهداف داخل الاراضي التونسية في تطور من المرجح ان يزيد من حدة التوتر بين البلدين ,قوات القذافي تطلق عددا من صوارخ غراد على اهداف داخل الاراضي التونسية 
0,هارولد كامبينج الذي كان قد تنبأ ب موعد القيامة يقول إن ه أخطأ ب الحسابات و إن الموعد الجديد هو 21 أكتوبر ,المذيع التبشيري  خطأ في حساب موعد القيامة و الموعد الصحيح 21 اكتوبر 
0,دمشق ترد متحدية قرار الاتحاد الأوروبي ب فرض عقوبات قيادات سورية من هم الرئيس الأسد ب القول ان سورية ستخرج من الأزمة الحالية اقوى ,دمشق  سنخرج من الازمة اقوى و اشد و الاسد سيبقى 
0,تراجعت تطورات الأحداث في سورية و ليبيا من صفحات الرأي و التحليل في الصحف البريطانية الصادرة صباح الأحد  لكنه ا ظلت حاضرة في صفحات الأخبار و التقرير ,حكايات النزوح السوري  و الجيش الاسرائيلي يرفض مهاجمة طهران 
1,تم القضا على الجدري في العالم ب شكل نهائي عام 1980  لكن المعامل المختبرية في الولايات المتحدة و روسيا تختزن عينات من الفيروس ,الولايات المتحدة تمتلك مخزون مختبري ل فيروسات الجدري 
1,شارك ما لا يقل عن 60 ألف شخص في العاصمة اليونانية أثينا في مظاهرة احتجاجا على لجو الحكومة اليونانية إلى تخفيض النفقات و زيادة الضرائب ,اليونان  مظاهرة ضخمة في أثينا احتجاجا على إجراات التقشف 
0,امرأة استرالية تقاضي حكومة بلاد ها ب سبب ما تقول إن ها خدمة قنصلية سيئة قدمت ل ها من قبل السفارة الاسترالية في الإمارات ,استرالية تقاضي حكومة بلاد ها ل فشل ها ب تحذير ها من عقوبة الزنا في الإمارات 
1,محافظ بنك إسرائيل المركزي ستانلي فيشر يعلن ترشح ه ل منصب رئيس صندوق النقد الدولي منافسا وزيرة المالية الفرنسية كريستين ل اغارد المرشحة الأوفر حظا و المكسيكي أوغستين كارستنز ,محافظ البنك المركزي الإسرائيلي يعلن ترشح ه ل رئاسة صندوق النقد الدولي 
0,مقتل 14 شخصا على الاقل و فقدان العشرات و نزوح الالاف في تدفق مياه فيضان غمر اجزا من مقاطعة قويتشو جنوب غرب الصين ,قتلى و مفقودون في فيضانات عارمة تضرب جنوب الصين بعد فترة جفاف 
0,السعودية و الامارات و الكويت تسعى ل زيادة انتاج النفط ب كمية كبيرة ل خفض الاسعار بينما بقية الاعضا لا يرون مبررا ل زيادة كبيرة في الانتاج في ظل ضعف الطلب ,بعض اعضا اوبك يحاولون زيادة انتاج ها النفطي 
0,يستضيف الرئيس الفرنسي نيكولا ساركوزي مؤتمرا يضم أقطاب جوجل و فيسبوك و ميكروسوفت و غير هم في عالم التقنية الإلكترونية ,مؤتمر ل أقطاب عالم الإنترنت في باريس 
1,أدت سحب الغبار المنبعثة من بركان في شيلي إلى تعطيل الرحلات الجوية في العديد من بلدان أمريكا الجنوبية ,الرماد البركاني يعطل الرحلات الجوية في امريكا الجنوبية 
0,كتاب جديد ل لكاتب الأمريكي ديفيد بروكس يقول ان الانسان يعتمد أكثر على عواطف ه و عقل ه الباطني ,مشاعر نا تحدد مدى نجاح نا في الحياة 
0,يجتمع الرئيس السوداني مع رئيس جنوب السودان في عاصمة إثيوبيا ل بحث قضيتي آبيي و جنوب كردفان  وفقا ل مبعوث الصين ل لشؤون الإفريقية ,البشير و سيلفا كير يجتمعان في أديس أبابا ل بحث الحدود بين شمال و جنوب السودان 
0,الاتحاد العالمي ل نقابات العمال يطالب الحكومة القطرية ب زيادة حقوق العاملين  و يقول ان اوضاع العمالة المهاجرة في الشرق الاوسط غير مقبولة ,قطر مطالبة ب تحسين حقوق العمال و هي تستعد ل كأس العالم 
0,علما يتوصلون الى تقنية جديدة تقوم على استخدام الهندسة الوراثية ل لحصول على خلية يمكن ها انتاج بروتين يشع ضوا ك ذاك الذي نرا ه في قناديل البحر المتوهجة ,خلية حية تنتج اشعة ليزر 
0,حملة القصف الجوي ضد المتعاطفين مع جنوب السودان تتسبب في معاناة مروعة بين السكان المدنيين  على حد ما تقول ه الأمم المتحدة ,السودان  معاناة شديدة ب سبب القنابل في ولاية جنوب كردفان 
0,الآلاف من أتباع رجل الدين مقتدى الصدر يشاركون في مسيرة استعراض في مدينة الصدر شرقي العاصمة العراقية بغداد ل لمطالبة ب رحيل القوات الأمريكية ,استعراض ل لصدريين ل لمطالبة ب رحيل القوات الامريكية مع انتها المدة المحددة ل ها ب نهاية العام الجاري 
0,تدخل الحملة الانتخابية في تركيا مرحلت ها الأخيرة  و حزب العدالة و التنمية الحاكم يسعى ل تحقيق أغلبية تمكن ه من تغيير الدستور ,تركيا  العدالة و التنمية نحو ولاية ثالثة في انتخابات الأحد 
1,توأم متماثل من الرهبان المسيحيين  بلغا من العمر 92 سنة  لم يفترقا طيلة فترة حيات هما  و لم يفترقا حتى عند الموت  و حتى سبب وفات هما كان واحدا  عجز القلب ,راهبان توأم عاشا معا و ماتا معا  بعد 92 سنة 
1,قال وزير الدفاع الامريكي روبرت غيتس  في ندوة ب بروكسل يوم الجمعة  إن ه يخشى من و هن قوة حلف شمال الاطلسي الناتو  ما لم يسهم الحلفا الاوربيون في زيادة الانفاق العسكري ,غيتس  أخشى من ضعف قدرة حلف الناتو 
1,المتحدث ب اسم رئيس الوزرا الإسرائيلي يقول ان اسرائيل تحمل النظام السوري كامل المسؤولية عن الأحداث العنيفة التي تقع حاليا في الجولان على الحدود السورية الإسرائيلية ,اسرائيل تتهم سورية ب افتعال احداث الجولان 
0,تقوم تركيا ب بنا معسكر جديد ل لاجئين قرب حدود ها مع سورية التي تقول إن 5 آلاف مم ن لجأوا من جسر الشغور قد عادوا الى مدينت هم ,تركيا تبني معسكرا جديدا ل لاجئين السوريين و دمشق تؤكد عودة 5 آلاف خلال اليومين الأخيرين 
0,رئيس وكالة الطاقة الدولية يقول إن لم تستطع السعودية سد الفجوة في إمدادات المعروض المطلوبة ل تلبية الطلب العالمي ف ان الوكالة ستقوم ب تنسيق عمليات إطلاق كميات من مخزونات البترول الاستراتيجية ل لدول الأعضا ,السعودية مستعدة ل اطلاق كميات من الاحتياطي الاستراتيجي من النفط 
1,أكد ناشطون سوريون تصميم هم على الاستمرار في الاحتجاجات ضد نظام حكم بشار الاسد فيما تزداد الضغوط الدولية على دمشق ل وقف العنف ضد المحتجين ,استمرار الاحتجاجات ب سورية ضد نظام بشار الاسد 
1,البنك الدولي يتعهد ب تقديم قروض ل مصر و تونس قيمت ها 6 مليار دولار في خطوة ل تعزيز الربيع العربي ,قروض من البنك الدولي ل مصر و تونس ب قيمة 6 مليارات دولار 
1,نشطا يقولون ان السلطات السعودية ألقت القبض على ناشطة سعودية يوم الاحد أطلقت حملة ل تحدي حظر على قيادة المرأة ل لسيارات في السعودية  و بثت تسجيل فيديو على الانترنت أثنا قيادت ها سيارة ,القبض على سعودية ل قيادت ها سيارة رغم الحظر المفروض 
1,الصحيفة الناطقة ب اسم الحزب الشيوعي تقول إن شركة محرك البحث غوغل تتوخى اهدافا سياسية من ورا شكوا ها الاخيرة ب وقوع اختراقات مصدر ها الصين  و تحذر الشركة من عواقب تجارية ,الصين تتهم غوغل ب الانخراط في لعبة سياسية 
0,الحكومة الفيتنامية تصدر قرارا ب شأن استدعا الاحتياط في محاولة ل تعزيز قدرات ها العسكرية ضمن نزاع على مناطق في البحر الجنوبي ,فيتنام تعزز قدرات ها القتالية وسط صراع بحري مع الصين 
0,قال عضو الكونغرس الأمريكي الذي اعترف ب إرسال صورة خليعة ل ه و هو يرتدي سروالا داخليا إلى امرأة عبر شبكة الانترنت  إن ه يرغب في الحصول على إجازة من العمل ,عضو الكونغرس انتوني و ينر يطلب تلقي العلاج بعد نشر صورة خليعة ل ه 
1,وزير خارجية إيران يعلن من الكويت إعادة سفير ي البلدين ل مركز ي عمل هما في الكويت و طهران ب أسرع وقت ممكن ,الكويت و إيران تتفقان على إعادة سفيري هما 
0,انطلق في تونس مهرجان الضحك السنوي في ظل تحرر الحياة الثقافية و الفنية في البلاد من القيود التي كانت مفروضة على حرية التعبير تحت حكم بن علي ,تونس  مهرجان ل لضحك ينتقد الرموز السياسية 
1,رئيس المجلس الوطني الانتقالي الليبي المعارض يشيد ب موقف روسيا الاخير الداعي الى تنحي الزعيم الليبي معمر القذافي عن السلطة و عرض ها التوسط ل ترتيب خروج ه من ليبيا ,المعارضة الليبية تشيد ب الموقف الروسي المطالب ب تنحي القذافي 
0,مسؤولون في المجلس الوطني الانتقالي في مدينة بنغازي يصفون الوضع الانساني في الجبل ب الكارثي  مطالبين المجتمع الدولي ب الإسراع في تأمين ممر آمن ل وصول المساعدات الإنسانية إلى المدن و القرى الليبية هناك ,المجلس الانتقالي الليبي  كارثة إنسانية في الجبل الغربي 
1,وزيرة الخارجية الأمريكية هيلاري كلينتون تقول إن الولايات المتحدة تشعر ب خيبة امل ل رفض الرئيس اليمني علي عبدالله صالح التوقيع على اتفاقية ل لتخلي عن السلطة و تحض ه على التوقيع علي ها ,واشنطن تحض صالح على قبول اتفاقية تسليم السلطة 
0,تجددت الاشتباكات بين شمال السودان و جنوب ه في منطقة أبيي الحدودية المتنازع علي ها  بينما أعربت الولايات المتحدة و الأمم المتحدة عن قلق من تواصل الاشتباكات في ولاية جنوب كردفان ,السودان  تجدد الاشتباكات المسلحة الأربعا بين الشمال و الجنوب في أبيي 
0,الشيخ خلدون رئيس مجلس إدارة نادي مانشستر سيتي حذر من التوقعات التي أشارت إلى أن النادي قد يفتح خزائن ه ب لا قيود ل شرا لاعبين جدد خلال صيف العام الحالي ,المبارك  مانشستر سيتي قد لا ينفق الكثير ل شرا لاعبين جدد هذا العام 
0,ربطت دراسة أجريت على 50 ألف شخص بين شرب القهوة و انحفاض خطر الموت جرا الإصابة ب سرطان البروستات ,القهوة قد تقلل من خطر سرطان البروستات حسب دراسة في الولايات المتحدة 
1,فرنسا تعلن عن استعداد ها ل دعوة مجلس الأمن ل لتصويت على مشروع قرار يدين دمشق على الرغم من الفيتو الروسي المحتمل ل معارضة القرار ,فرنسا مستعدة ل دعوة مجلس الامن ل لاقتراع على قرار يدين سورية 
1,مئات القتلى و الاف الجرحى سقطوا خلال الانتفاضات العربية ,انتفاضات في الدول العربية 
0,علما امريكيون يكشفون من مختبر ترعا ه ناسا في امريكا عن اثار مصرية قديمة لم تكتشف بعد عبر صور اقمار اصطناعية مزودة ب كاميرات تعمل ب الاشعة تحت الحمرا و تصور ما تحت سطح الارض ,العثور على اهرامات مصرية مفقودة عبر صور الاقمار الاصطناعية ب الاشعة تحت الحمرا 
0,لجنة شؤون الأحزاب السياسية تقرر قبول الإخطار المقدم من حزب الحرية و العدالة ب شأن تأسيس الحزب و تمتع ه ب الشخصية الاعتبارية و حق ه فى مباشرة نشاط ه السياسي ,الموافقة رسميا في مصر على اجازة حزب الحرية و العدالة اليوم الاثنين 
1,تأهل السويسري روجيه فيدرير إلى نهائي بطولة فرنسا المفتوحة ل لتنس رولان راغوس ل يلاقي غريم ه الاسباني رفائيل نادال ,فيدرير و نادال يلتقيان في نهائي رولان غاروس 
1,اشعل محمد البوعزيزي ثورة تونس التي اسقطت الرئيس بن علي  و امتدت ل مصر ل تسقط الرئيس حسني مبارك  و دارت عجلة الثورات العربية ل تسفر عن احتجاجات مستمرة ب سورية و اليمن و البحرين و ليبيا ,ثورات عربية تسقط عدد من الرؤسا 
1,احد قيادي المعارضة اليمنية يقول في تصريح خاص لبي بي سي إن المعارضة تعد ل ائتلاف وطني يحوي كل مكونات المشهد السياسي اليمني ,محمد التوكل  المعارضة اليمنية تستعد ل إعلان ائتلاف وطني 
